package,version,license_expression,home_page
alembic,1.16.4,MIT,
annotated-doc,0.0.4,MIT,
annotated-types,0.7.0,UNKNOWN,
anyio,4.14.2,MIT,
argon2-cffi,25.1.0,MIT,
argon2-cffi-bindings,25.1.0,MIT,
asyncpg,0.30.0,"Apache License, Version 2.0",
attrs,26.1.0,MIT,
certifi,2026.6.17,MPL-2.0,https://github.com/certifi/python-certifi
cffi,2.1.0,MIT-0,
click,8.4.2,BSD-3-Clause,
colorama,0.4.6,UNKNOWN,
cryptography,50.0.0,Apache-2.0 OR BSD-3-Clause,
dnspython,2.8.0,ISC,
email-validator,2.2.0,Unlicense,https://github.com/JoshData/python-email-validator
fastapi,0.139.2,MIT,
greenlet,3.5.3,MIT AND PSF-2.0,
h11,0.16.0,MIT,https://github.com/python-hyper/h11
httpcore,1.0.9,BSD-3-Clause,
httptools,0.8.0,MIT,
httpx,0.28.1,BSD-3-Clause,
idna,3.18,BSD-3-Clause,
jsonschema,4.26.0,MIT,
jsonschema-specifications,2025.9.1,MIT,
mako,1.3.12,MIT,https://www.makotemplates.org/
markupsafe,3.0.3,BSD-3-Clause,
orjson,3.11.9,MPL-2.0 AND (Apache-2.0 OR MIT),
prometheus-client,0.22.1,Apache-2.0 AND BSD-2-Clause,
pycparser,3.0,BSD-3-Clause,
pydantic,2.11.7,MIT,
pydantic-core,2.33.2,MIT,https://github.com/pydantic/pydantic-core
pydantic-settings,2.10.1,MIT,
pyotp,2.9.0,MIT License,https://github.com/pyotp/pyotp
pypdf,6.14.2,BSD-3-Clause,
python-dotenv,1.2.2,BSD-3-Clause,
python-multipart,0.0.32,Apache-2.0,
pyyaml,6.0.2,MIT,https://pyyaml.org/
referencing,0.36.2,MIT,
rpds-py,2026.6.3,MIT,
sqlalchemy,2.0.41,MIT,https://www.sqlalchemy.org
starlette,1.3.1,BSD-3-Clause,
structlog,25.4.0,MIT OR Apache-2.0,
typing-extensions,4.16.0,PSF-2.0,
typing-inspection,0.4.2,MIT,
tzdata,2025.2,Apache-2.0,https://github.com/python/tzdata
uvicorn,0.35.0,BSD-3-Clause,
uvloop,0.22.1,NOT_INSTALLED_ON_BUILD_PLATFORM,
watchfiles,1.2.0,MIT,https://github.com/samuelcolvin/watchfiles
websockets,16.1.1,BSD-3-Clause,
