package,version,license,resolved
@adobe/css-tools,4.5.0,MIT,https://registry.npmjs.org/@adobe/css-tools/-/css-tools-4.5.0.tgz
@asamuzakjp/css-color,3.2.0,MIT,https://registry.npmjs.org/@asamuzakjp/css-color/-/css-color-3.2.0.tgz
@asamuzakjp/css-color/node_modules/lru-cache,10.4.3,ISC,https://registry.npmjs.org/lru-cache/-/lru-cache-10.4.3.tgz
@babel/code-frame,7.29.7,MIT,https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz
@babel/compat-data,7.29.7,MIT,https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.7.tgz
@babel/core,7.29.7,MIT,https://registry.npmjs.org/@babel/core/-/core-7.29.7.tgz
@babel/generator,7.29.7,MIT,https://registry.npmjs.org/@babel/generator/-/generator-7.29.7.tgz
@babel/helper-compilation-targets,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.29.7.tgz
@babel/helper-globals,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.29.7.tgz
@babel/helper-module-imports,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.29.7.tgz
@babel/helper-module-transforms,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.29.7.tgz
@babel/helper-plugin-utils,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.29.7.tgz
@babel/helper-string-parser,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz
@babel/helper-validator-identifier,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz
@babel/helper-validator-option,7.29.7,MIT,https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.29.7.tgz
@babel/helpers,7.29.7,MIT,https://registry.npmjs.org/@babel/helpers/-/helpers-7.29.7.tgz
@babel/parser,7.29.7,MIT,https://registry.npmjs.org/@babel/parser/-/parser-7.29.7.tgz
@babel/plugin-transform-react-jsx-self,7.29.7,MIT,https://registry.npmjs.org/@babel/plugin-transform-react-jsx-self/-/plugin-transform-react-jsx-self-7.29.7.tgz
@babel/plugin-transform-react-jsx-source,7.29.7,MIT,https://registry.npmjs.org/@babel/plugin-transform-react-jsx-source/-/plugin-transform-react-jsx-source-7.29.7.tgz
@babel/runtime,7.29.7,MIT,https://registry.npmjs.org/@babel/runtime/-/runtime-7.29.7.tgz
@babel/template,7.29.7,MIT,https://registry.npmjs.org/@babel/template/-/template-7.29.7.tgz
@babel/traverse,7.29.7,MIT,https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.7.tgz
@babel/types,7.29.7,MIT,https://registry.npmjs.org/@babel/types/-/types-7.29.7.tgz
@csstools/color-helpers,5.1.0,MIT-0,https://registry.npmjs.org/@csstools/color-helpers/-/color-helpers-5.1.0.tgz
@csstools/css-calc,2.1.4,MIT,https://registry.npmjs.org/@csstools/css-calc/-/css-calc-2.1.4.tgz
@csstools/css-color-parser,3.1.0,MIT,https://registry.npmjs.org/@csstools/css-color-parser/-/css-color-parser-3.1.0.tgz
@csstools/css-parser-algorithms,3.0.5,MIT,https://registry.npmjs.org/@csstools/css-parser-algorithms/-/css-parser-algorithms-3.0.5.tgz
@csstools/css-tokenizer,3.0.4,MIT,https://registry.npmjs.org/@csstools/css-tokenizer/-/css-tokenizer-3.0.4.tgz
@esbuild/aix-ppc64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.12.tgz
@esbuild/android-arm,0.25.12,MIT,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.12.tgz
@esbuild/android-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.12.tgz
@esbuild/android-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.12.tgz
@esbuild/darwin-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.12.tgz
@esbuild/darwin-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.12.tgz
@esbuild/freebsd-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.12.tgz
@esbuild/freebsd-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.12.tgz
@esbuild/linux-arm,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.12.tgz
@esbuild/linux-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.12.tgz
@esbuild/linux-ia32,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.12.tgz
@esbuild/linux-loong64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.25.12.tgz
@esbuild/linux-mips64el,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.25.12.tgz
@esbuild/linux-ppc64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.25.12.tgz
@esbuild/linux-riscv64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.25.12.tgz
@esbuild/linux-s390x,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.25.12.tgz
@esbuild/linux-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.25.12.tgz
@esbuild/netbsd-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.25.12.tgz
@esbuild/netbsd-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.25.12.tgz
@esbuild/openbsd-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.25.12.tgz
@esbuild/openbsd-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.25.12.tgz
@esbuild/openharmony-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.25.12.tgz
@esbuild/sunos-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.25.12.tgz
@esbuild/win32-arm64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.25.12.tgz
@esbuild/win32-ia32,0.25.12,MIT,https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.25.12.tgz
@esbuild/win32-x64,0.25.12,MIT,https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.25.12.tgz
@eslint-community/eslint-utils,4.9.1,MIT,https://registry.npmjs.org/@eslint-community/eslint-utils/-/eslint-utils-4.9.1.tgz
@eslint-community/eslint-utils/node_modules/eslint-visitor-keys,3.4.3,Apache-2.0,https://registry.npmjs.org/eslint-visitor-keys/-/eslint-visitor-keys-3.4.3.tgz
@eslint-community/regexpp,4.12.2,MIT,https://registry.npmjs.org/@eslint-community/regexpp/-/regexpp-4.12.2.tgz
@eslint/config-array,0.21.2,Apache-2.0,https://registry.npmjs.org/@eslint/config-array/-/config-array-0.21.2.tgz
@eslint/config-helpers,0.3.1,Apache-2.0,https://registry.npmjs.org/@eslint/config-helpers/-/config-helpers-0.3.1.tgz
@eslint/core,0.15.2,Apache-2.0,https://registry.npmjs.org/@eslint/core/-/core-0.15.2.tgz
@eslint/eslintrc,3.3.6,MIT,https://registry.npmjs.org/@eslint/eslintrc/-/eslintrc-3.3.6.tgz
@eslint/eslintrc/node_modules/globals,14.0.0,MIT,https://registry.npmjs.org/globals/-/globals-14.0.0.tgz
@eslint/js,9.31.0,MIT,https://registry.npmjs.org/@eslint/js/-/js-9.31.0.tgz
@eslint/object-schema,2.1.7,Apache-2.0,https://registry.npmjs.org/@eslint/object-schema/-/object-schema-2.1.7.tgz
@eslint/plugin-kit,0.3.5,Apache-2.0,https://registry.npmjs.org/@eslint/plugin-kit/-/plugin-kit-0.3.5.tgz
@humanfs/core,0.19.2,Apache-2.0,https://registry.npmjs.org/@humanfs/core/-/core-0.19.2.tgz
@humanfs/node,0.16.8,Apache-2.0,https://registry.npmjs.org/@humanfs/node/-/node-0.16.8.tgz
@humanfs/types,0.15.0,Apache-2.0,https://registry.npmjs.org/@humanfs/types/-/types-0.15.0.tgz
@humanwhocodes/module-importer,1.0.1,Apache-2.0,https://registry.npmjs.org/@humanwhocodes/module-importer/-/module-importer-1.0.1.tgz
@humanwhocodes/retry,0.4.3,Apache-2.0,https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz
@jridgewell/gen-mapping,0.3.13,MIT,https://registry.npmjs.org/@jridgewell/gen-mapping/-/gen-mapping-0.3.13.tgz
@jridgewell/remapping,2.3.5,MIT,https://registry.npmjs.org/@jridgewell/remapping/-/remapping-2.3.5.tgz
@jridgewell/resolve-uri,3.1.2,MIT,https://registry.npmjs.org/@jridgewell/resolve-uri/-/resolve-uri-3.1.2.tgz
@jridgewell/sourcemap-codec,1.5.5,MIT,https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz
@jridgewell/trace-mapping,0.3.31,MIT,https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.31.tgz
@kurkle/color,0.3.4,MIT,https://registry.npmjs.org/@kurkle/color/-/color-0.3.4.tgz
@nodelib/fs.scandir,2.1.5,MIT,https://registry.npmjs.org/@nodelib/fs.scandir/-/fs.scandir-2.1.5.tgz
@nodelib/fs.stat,2.0.5,MIT,https://registry.npmjs.org/@nodelib/fs.stat/-/fs.stat-2.0.5.tgz
@nodelib/fs.walk,1.2.8,MIT,https://registry.npmjs.org/@nodelib/fs.walk/-/fs.walk-1.2.8.tgz
@playwright/test,1.54.1,Apache-2.0,https://registry.npmjs.org/@playwright/test/-/test-1.54.1.tgz
@rolldown/pluginutils,1.0.0-beta.19,MIT,https://registry.npmjs.org/@rolldown/pluginutils/-/pluginutils-1.0.0-beta.19.tgz
@rollup/rollup-android-arm-eabi,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-android-arm-eabi/-/rollup-android-arm-eabi-4.62.2.tgz
@rollup/rollup-android-arm64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-android-arm64/-/rollup-android-arm64-4.62.2.tgz
@rollup/rollup-darwin-arm64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-darwin-arm64/-/rollup-darwin-arm64-4.62.2.tgz
@rollup/rollup-darwin-x64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-darwin-x64/-/rollup-darwin-x64-4.62.2.tgz
@rollup/rollup-freebsd-arm64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-freebsd-arm64/-/rollup-freebsd-arm64-4.62.2.tgz
@rollup/rollup-freebsd-x64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-freebsd-x64/-/rollup-freebsd-x64-4.62.2.tgz
@rollup/rollup-linux-arm-gnueabihf,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-arm-gnueabihf/-/rollup-linux-arm-gnueabihf-4.62.2.tgz
@rollup/rollup-linux-arm-musleabihf,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-arm-musleabihf/-/rollup-linux-arm-musleabihf-4.62.2.tgz
@rollup/rollup-linux-arm64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-arm64-gnu/-/rollup-linux-arm64-gnu-4.62.2.tgz
@rollup/rollup-linux-arm64-musl,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-arm64-musl/-/rollup-linux-arm64-musl-4.62.2.tgz
@rollup/rollup-linux-loong64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-loong64-gnu/-/rollup-linux-loong64-gnu-4.62.2.tgz
@rollup/rollup-linux-loong64-musl,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-loong64-musl/-/rollup-linux-loong64-musl-4.62.2.tgz
@rollup/rollup-linux-ppc64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-gnu/-/rollup-linux-ppc64-gnu-4.62.2.tgz
@rollup/rollup-linux-ppc64-musl,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-musl/-/rollup-linux-ppc64-musl-4.62.2.tgz
@rollup/rollup-linux-riscv64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-gnu/-/rollup-linux-riscv64-gnu-4.62.2.tgz
@rollup/rollup-linux-riscv64-musl,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-musl/-/rollup-linux-riscv64-musl-4.62.2.tgz
@rollup/rollup-linux-s390x-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-s390x-gnu/-/rollup-linux-s390x-gnu-4.62.2.tgz
@rollup/rollup-linux-x64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-x64-gnu/-/rollup-linux-x64-gnu-4.62.2.tgz
@rollup/rollup-linux-x64-musl,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-linux-x64-musl/-/rollup-linux-x64-musl-4.62.2.tgz
@rollup/rollup-openbsd-x64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-openbsd-x64/-/rollup-openbsd-x64-4.62.2.tgz
@rollup/rollup-openharmony-arm64,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-openharmony-arm64/-/rollup-openharmony-arm64-4.62.2.tgz
@rollup/rollup-win32-arm64-msvc,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-win32-arm64-msvc/-/rollup-win32-arm64-msvc-4.62.2.tgz
@rollup/rollup-win32-ia32-msvc,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-win32-ia32-msvc/-/rollup-win32-ia32-msvc-4.62.2.tgz
@rollup/rollup-win32-x64-gnu,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-win32-x64-gnu/-/rollup-win32-x64-gnu-4.62.2.tgz
@rollup/rollup-win32-x64-msvc,4.62.2,MIT,https://registry.npmjs.org/@rollup/rollup-win32-x64-msvc/-/rollup-win32-x64-msvc-4.62.2.tgz
@tanstack/query-core,5.83.0,MIT,https://registry.npmjs.org/@tanstack/query-core/-/query-core-5.83.0.tgz
@tanstack/react-query,5.83.0,MIT,https://registry.npmjs.org/@tanstack/react-query/-/react-query-5.83.0.tgz
@testing-library/dom,10.4.1,MIT,https://registry.npmjs.org/@testing-library/dom/-/dom-10.4.1.tgz
@testing-library/jest-dom,6.6.4,MIT,https://registry.npmjs.org/@testing-library/jest-dom/-/jest-dom-6.6.4.tgz
@testing-library/jest-dom/node_modules/dom-accessibility-api,0.6.3,MIT,https://registry.npmjs.org/dom-accessibility-api/-/dom-accessibility-api-0.6.3.tgz
@testing-library/react,16.3.0,MIT,https://registry.npmjs.org/@testing-library/react/-/react-16.3.0.tgz
@testing-library/user-event,14.6.1,MIT,https://registry.npmjs.org/@testing-library/user-event/-/user-event-14.6.1.tgz
@types/aria-query,5.0.4,MIT,https://registry.npmjs.org/@types/aria-query/-/aria-query-5.0.4.tgz
@types/babel__core,7.20.5,MIT,https://registry.npmjs.org/@types/babel__core/-/babel__core-7.20.5.tgz
@types/babel__generator,7.27.0,MIT,https://registry.npmjs.org/@types/babel__generator/-/babel__generator-7.27.0.tgz
@types/babel__template,7.4.4,MIT,https://registry.npmjs.org/@types/babel__template/-/babel__template-7.4.4.tgz
@types/babel__traverse,7.28.0,MIT,https://registry.npmjs.org/@types/babel__traverse/-/babel__traverse-7.28.0.tgz
@types/chai,5.2.3,MIT,https://registry.npmjs.org/@types/chai/-/chai-5.2.3.tgz
@types/deep-eql,4.0.2,MIT,https://registry.npmjs.org/@types/deep-eql/-/deep-eql-4.0.2.tgz
@types/estree,1.0.9,MIT,https://registry.npmjs.org/@types/estree/-/estree-1.0.9.tgz
@types/json-schema,7.0.15,MIT,https://registry.npmjs.org/@types/json-schema/-/json-schema-7.0.15.tgz
@types/node,24.1.0,MIT,https://registry.npmjs.org/@types/node/-/node-24.1.0.tgz
@types/react,19.1.8,MIT,https://registry.npmjs.org/@types/react/-/react-19.1.8.tgz
@types/react-dom,19.1.6,MIT,https://registry.npmjs.org/@types/react-dom/-/react-dom-19.1.6.tgz
@typescript-eslint/eslint-plugin,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/eslint-plugin/-/eslint-plugin-8.38.0.tgz
@typescript-eslint/eslint-plugin/node_modules/ignore,7.0.6,MIT,https://registry.npmjs.org/ignore/-/ignore-7.0.6.tgz
@typescript-eslint/parser,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/parser/-/parser-8.38.0.tgz
@typescript-eslint/project-service,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/project-service/-/project-service-8.38.0.tgz
@typescript-eslint/scope-manager,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/scope-manager/-/scope-manager-8.38.0.tgz
@typescript-eslint/tsconfig-utils,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/tsconfig-utils/-/tsconfig-utils-8.38.0.tgz
@typescript-eslint/type-utils,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/type-utils/-/type-utils-8.38.0.tgz
@typescript-eslint/types,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/types/-/types-8.38.0.tgz
@typescript-eslint/typescript-estree,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/typescript-estree/-/typescript-estree-8.38.0.tgz
@typescript-eslint/typescript-estree/node_modules/brace-expansion,2.1.2,MIT,https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.1.2.tgz
@typescript-eslint/typescript-estree/node_modules/minimatch,9.0.9,ISC,https://registry.npmjs.org/minimatch/-/minimatch-9.0.9.tgz
@typescript-eslint/typescript-estree/node_modules/semver,7.8.5,ISC,https://registry.npmjs.org/semver/-/semver-7.8.5.tgz
@typescript-eslint/utils,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/utils/-/utils-8.38.0.tgz
@typescript-eslint/visitor-keys,8.38.0,MIT,https://registry.npmjs.org/@typescript-eslint/visitor-keys/-/visitor-keys-8.38.0.tgz
@vitejs/plugin-react,4.6.0,MIT,https://registry.npmjs.org/@vitejs/plugin-react/-/plugin-react-4.6.0.tgz
@vitest/expect,3.2.4,MIT,https://registry.npmjs.org/@vitest/expect/-/expect-3.2.4.tgz
@vitest/mocker,3.2.4,MIT,https://registry.npmjs.org/@vitest/mocker/-/mocker-3.2.4.tgz
@vitest/pretty-format,3.2.7,MIT,https://registry.npmjs.org/@vitest/pretty-format/-/pretty-format-3.2.7.tgz
@vitest/runner,3.2.4,MIT,https://registry.npmjs.org/@vitest/runner/-/runner-3.2.4.tgz
@vitest/snapshot,3.2.4,MIT,https://registry.npmjs.org/@vitest/snapshot/-/snapshot-3.2.4.tgz
@vitest/snapshot/node_modules/@vitest/pretty-format,3.2.4,MIT,https://registry.npmjs.org/@vitest/pretty-format/-/pretty-format-3.2.4.tgz
@vitest/spy,3.2.4,MIT,https://registry.npmjs.org/@vitest/spy/-/spy-3.2.4.tgz
@vitest/utils,3.2.4,MIT,https://registry.npmjs.org/@vitest/utils/-/utils-3.2.4.tgz
@vitest/utils/node_modules/@vitest/pretty-format,3.2.4,MIT,https://registry.npmjs.org/@vitest/pretty-format/-/pretty-format-3.2.4.tgz
acorn,8.17.0,MIT,https://registry.npmjs.org/acorn/-/acorn-8.17.0.tgz
acorn-jsx,5.3.2,MIT,https://registry.npmjs.org/acorn-jsx/-/acorn-jsx-5.3.2.tgz
agent-base,7.1.4,MIT,https://registry.npmjs.org/agent-base/-/agent-base-7.1.4.tgz
ajv,6.15.0,MIT,https://registry.npmjs.org/ajv/-/ajv-6.15.0.tgz
ansi-regex,5.0.1,MIT,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz
ansi-styles,4.3.0,MIT,https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz
argparse,2.0.1,Python-2.0,https://registry.npmjs.org/argparse/-/argparse-2.0.1.tgz
aria-query,5.3.0,Apache-2.0,https://registry.npmjs.org/aria-query/-/aria-query-5.3.0.tgz
assertion-error,2.0.1,MIT,https://registry.npmjs.org/assertion-error/-/assertion-error-2.0.1.tgz
balanced-match,1.0.2,MIT,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz
baseline-browser-mapping,2.10.43,Apache-2.0,https://registry.npmjs.org/baseline-browser-mapping/-/baseline-browser-mapping-2.10.43.tgz
brace-expansion,1.1.16,MIT,https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.16.tgz
braces,3.0.3,MIT,https://registry.npmjs.org/braces/-/braces-3.0.3.tgz
browserslist,4.28.6,MIT,https://registry.npmjs.org/browserslist/-/browserslist-4.28.6.tgz
cac,6.7.14,MIT,https://registry.npmjs.org/cac/-/cac-6.7.14.tgz
callsites,3.1.0,MIT,https://registry.npmjs.org/callsites/-/callsites-3.1.0.tgz
caniuse-lite,1.0.30001806,CC-BY-4.0,https://registry.npmjs.org/caniuse-lite/-/caniuse-lite-1.0.30001806.tgz
chai,5.3.3,MIT,https://registry.npmjs.org/chai/-/chai-5.3.3.tgz
chalk,4.1.2,MIT,https://registry.npmjs.org/chalk/-/chalk-4.1.2.tgz
chart.js,4.5.0,MIT,https://registry.npmjs.org/chart.js/-/chart.js-4.5.0.tgz
check-error,2.1.3,MIT,https://registry.npmjs.org/check-error/-/check-error-2.1.3.tgz
color-convert,2.0.1,MIT,https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz
color-name,1.1.4,MIT,https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz
concat-map,0.0.1,MIT,https://registry.npmjs.org/concat-map/-/concat-map-0.0.1.tgz
